,age_midpoint,commit_frequency,dogs_vs_cats,experience_midpoint,gender,job_satisfaction,occupation_group,programming_ability,salary_midpoint,why_learn_new_tech
age_midpoint,1.0,-0.0439008471624,-0.0108269898647,0.568265932293,-0.0328865089914,0.12379539334,0.0167665793927,0.230188192142,0.34501053613,-0.0135548622015
commit_frequency,-0.0439008471624,1.0,0.460758544841,-0.0806098283271,0.04557057157,0.18007469349,0.22843548091,-0.156168932246,0.00976183975896,0.502517916132
dogs_vs_cats,-0.0108269898647,0.460758544841,1.0,-0.0355680074451,0.0287603605799,0.301367687171,0.085905516346,-0.03160372925,0.0872052733841,0.551979588293
experience_midpoint,0.568265932293,-0.0806098283271,-0.0355680074451,1.0,-0.0526486175301,0.0911912050551,0.00862939314112,0.429922823512,0.429627795137,-0.0226249835462
gender,-0.0328865089914,0.04557057157,0.0287603605799,-0.0526486175301,1.0,-0.0397413894025,0.00291997756613,-0.0285834602302,-0.0343216091702,0.000501023526491
job_satisfaction,0.12379539334,0.18007469349,0.301367687171,0.0911912050551,-0.0397413894025,1.0,8.86216514952e-05,0.0298686996319,0.105756501337,0.272640213262
occupation_group,0.0167665793927,0.22843548091,0.085905516346,0.00862939314112,0.00291997756613,8.86216514952e-05,1.0,-0.132189305248,0.0557196009147,0.127476661397
programming_ability,0.230188192142,-0.156168932246,-0.03160372925,0.429922823512,-0.0285834602302,0.0298686996319,-0.132189305248,1.0,0.255659535661,-0.0451396345099
salary_midpoint,0.34501053613,0.00976183975896,0.0872052733841,0.429627795137,-0.0343216091702,0.105756501337,0.0557196009147,0.255659535661,1.0,0.0836441384318
why_learn_new_tech,-0.0135548622015,0.502517916132,0.551979588293,-0.0226249835462,0.000501023526491,0.272640213262,0.127476661397,-0.0451396345099,0.0836441384318,1.0
