age_midpoint,gender,occupation_group,experience_midpoint,salary_midpoint,programming_ability,job_satisfaction,commit_frequency,dogs_vs_cats,why_learn_new_tech
32,0,3,8,42000,7,0,0,0,0
27,1,0,8,2000,7,2,2,1,2
27,0,0,1.2,12000,2,2,0,1,2
27,1,11,0.2,2000,1,3,5,0,2
32,0,1,1.2,12000,7,2,1,1,0
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,1,3.2,12000,8,2,0,1,3
27,0,1,8,22000,7,3,0,1,0
32,1,0,8,2000,6,2,3,0,0
27,0,0,8,12000,7,2,0,1,2
37,0,1,8,32000,7,3,0,1,2
32,0,0,8,22000,7,2,0,1,2
27,0,3,3.2,22000,8,3,0,1,2
32,0,1,8,22000,7,4,0,0,2
27,0,3,0.2,12000,2,2,3,0,2
32,0,13,8,22000,6,0,0,1,2
44.2,0,0,13,72000,9,2,0,-1,2
32,0,16,8,22000,8,3,3,0,3
37,0,0,13,62000,8,2,0,1,3
27,0,13,8,22000,7,2,0,-1,2
22,0,8,1.2,102000,8,-2,-2,-2,-2
62,0,6,13,162000,8,0,0,0,4
27,0,20,8,22000,8,2,0,0,0
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,8,42000,7,2,0,1,2
22,0,3,8,24162.92982,8,-2,-2,-2,-2
27,0,9,8,102000,8,4,0,1,3
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,4,1.2,24162.92982,2,2,0,0,2
24.2,0,1,13,2000,7,0,3,0,-2
22,0,0,3.2,32000,7,3,0,1,2
16,0,7,8,24162.92982,7,-2,3,0,3
27,0,8,3.2,42000,8,-1,2,1,0
32,0,3,13,42000,9,2,0,1,3
22,0,0,8,22000,7,-2,0,1,0
32,0,3,13,22000,9,2,0,0,3
22,0,0,3.2,24162.92982,6,-2,3,1,3
29.69039071,-2,7,13,42000,2,0,0,0,0
22,0,1,3.2,2000,2,2,0,0,2
22,0,7,3.2,24162.92982,7,-2,-2,0,3
27,0,9,13,32000,10,2,0,-1,4
22,0,7,3.2,32000,6,-2,4,1,3
22,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,7,1.2,2000,8,-2,5,0,3
22,0,0,8,22000,7,0,0,-1,3
27,0,14,13,122000,7.103284031,-2,-2,-2,-2
37,0,12,13,92000,8,0,0,0,2
27,0,1,3.2,72000,7,3,0,-1,4
29.69039071,0,7,1.2,24162.92982,8,-2,2,-1,4
22,0,7,3.2,24162.92982,9,-2,3,-1,3
27,0,1,3.2,22000,3,2,0,1,0
37,0,0,13,24162.92982,10,0,0,1,3
22,0,0,1.2,12000,9,2,0,1,3
22,0,0,3.2,2000,8,2,0,1,6
32,0,0,8,12000,8,4,0,1,4
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,11,8,2000,10,-1,3,1,-1
44.2,0,0,13,22000,10,32,0,1,2
22,0,1,3.2,12000,6,4,5,0,3
