id,collector,age_midpoint,gender,occupation_group,experience_midpoint,salary_midpoint,aliens,programming_ability,employment_status,industry,women_on_team,remote,job_satisfaction,job_discovery,commit_frequency,dogs_vs_cats,desktop_os,unit_testing,visit_frequency,why_learn_new_tech,open_to_new_job,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice
4637,22,32.0,0.0,3.0,8.0,42000.0,0,7.0,0,0,3,2.0,0,0,0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0
20222,22,27.0,1.0,0.0,8.0,2000.0,0,7.0,0,3,6,2.0,2,4,2,1,2.0,0,0.0,2,2.0,0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
31222,22,27.0,0.0,0.0,1.2,12000.0,0,2.0,0,1,1,2.0,2,1,0,1,2.0,2,0.0,2,1.0,0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
32991,22,27.0,1.0,11.0,0.2,2000.0,1,1.0,0,4,4,3.0,3,0,5,0,0.0,2,3.0,2,2.0,1,1.0,2.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0
36492,22,32.0,0.0,1.0,1.2,12000.0,0,7.0,0,10,1,2.0,2,2,1,1,2.0,2,0.0,0,1.0,-2,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
36819,22,22.0,0.0,2.03224261273,6.26862069922,24162.929823,-2,7.10328403109,-2,-2,-2,1.79242213212,-2,-2,-2,-2,2.27077971234,-2,0.80117107943,-2,0.931107278166,-2,0.924942024942,0.698129846196,0.320824172824,0.96940463062,1.36923233132,2.94873903209,1.21473040278,1.44633243783,1.76394227316,2.82772644242,0.874174008811,0.642287022271,1.33204739298,0.319494088232,0.383218707012,0.692878746219,0.9103200883,0.784691629926,1.04863973619,1.33177441241
42342,22,32.0,0.0,1.0,3.2,12000.0,0,8.0,0,0,0,2.0,2,7,0,1,4.0,2,0.0,3,1.0,0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
42991,22,27.0,0.0,1.0,8.0,22000.0,1,7.0,0,3,0,3.0,3,6,0,1,7.0,0,0.0,0,1.0,0,1.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
46926,22,32.0,1.0,0.0,8.0,2000.0,0,6.0,0,8,1,0.0,2,2,3,0,2.0,0,1.0,0,1.0,0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
47887,22,27.0,0.0,0.0,8.0,12000.0,-1,7.0,6,4,2,2.0,2,2,0,1,2.0,2,0.0,2,1.0,-2,1.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0
