id,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
4637,22,Afghanistan,Southern Asia,Central Asia,30-34,32.0,0.0,0; 1; 2,2,3.0,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,3.90744167947,iOS; Objective-C,Swift,0,7.0,0,0,100-499 employees,15-20 people,3,2.0,0,0,TextMate; Xcode,0,1-2 hours per week,0,0.0,1,1,0.0,0,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),0.0,Salary; Ability to make or influence important decisions; Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Building something that's innovative,Taking time off work to interview,10%,Show me more live code; Introduce me to the team; Show me the space in which I will work,0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,Unrealistic expectations; Interacting with non-technical people; Changing requirements,To get help for my job; Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
32955,22,Algeria,Northern Africa,Africa,< 20,16.0,0.0,0,1,1.0,Less than 1 year,0.5,,53952.9730248,3.90744167947,JavaScript,JavaScript,1,4.0,77,,,,,1.80342988185,,,Sublime,3,5-10 hours per week,1,3.0,0,1,2.0,-1 (please specify),I'm self-taught,0.0,Building something that's innovative,Finding time to search for a job,0%,Introduce me to the boss,,1.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Trying to be nice,Beacause I love to learn
35750,22,Argentina,South America,South America,20-24,22.0,0.0,0; 2; 9,0,0.0,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,3.90744167947,C#; JavaScript; PHP; SQL; SQL Server; WordPress,C#; PHP; Python; Ruby,0,8.0,0,4,20-99 employees,5-9 people,1,2.0,0,4,Notepad++; Sublime; Visual Studio,0,5-10 hours per week,0,3.0,I don't know,I don't have an account,0.0,2,I'm self-taught; On-the-job training,0.0,Opportunity for advancement; Building something that's significant; Building something that's innovative,Taking time off work to interview,100%,Show me more live code,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Inefficient development processes; Outdated technologies; Unspecific requirements,To get help for my job; Beacause I love to learn
36546,22,Argentina,South America,South America,40-49,44.5,0.0,0; 2; 3,6,6.0,11+ years,13.0,"$40,000 - $50,000",45000.0,3.90744167947,C++; Python,Java; JavaScript; MongoDB; Node.js,1,7.0,0,12,500-999 employees,1-4 people,2,0.0,2,1,Vim; Eclipse; Visual Studio,3,2-5 hours per week,1,8.0,0,I don't have an account,0.0,2,I'm self-taught,1.0,Salary; Tech stack; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Company reputation; Remote working option,-1 (please specify),60%,Show me more live code; Be more flexible about interview scheduling; Introduce me to the boss; Introduce me to the team; Show me the space in which I will work,,1.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,Poor documentation,To get help for my job; To receive help on my personal projects; Beacause I love to learn
36987,22,Argentina,South America,South America,40-49,44.5,0.0,1; 3; 8,9,9.0,11+ years,13.0,"$50,000 - $60,000",55000.0,3.90744167947,C; Java; JavaScript; MongoDB; Redis; SQL; SQL Server,Go; Scala; Spark,0,8.0,1,3,20-99 employees,5-9 people,2,0.0,2,2,Vim; IntelliJ,3,2-5 hours per week,0,5.0,0,1,0.0,0,B.S. in Computer Science (or related field),1.0,Salary; Tech stack; Work/life balance; Remote working option; Flexible work hours; Building something that's innovative,Writing my CV and keeping it updated,30%,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,,1.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,Fragile code base; Poor scheduling; Corporate policies,To get help for my job; To give help to -1s; Beacause I love to learn
38651,22,Argentina,South America,South America,25-29,27.0,0.0,0; 2,1,1.0,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,3.90744167947,Android; Java; Python; SQL,Android; Arduino / Raspberry Pi; iOS; Java; JavaScript; Python; Scala; SQL,0,5.0,0,,,,,1.80342988185,,,,,,,2.62407698435,,,0.791892360359,,,0.936547994592,,,,,,0.955440438798,0.709414103614,0.347968775639,0.952076226326,1.37889131302,2.94961585309,1.53568034968,1.45657428484,1.76353168798,2.82422396626,0.869921178568,0.646998026872,1.32477487009,0.320157731668,0.388617236353,0.692108971348,0.923334039498,0.816501681206,1.04213047767,1.30015515539,,
45695,22,Argentina,South America,South America,35-39,37.0,1.0,0; 1; 2; 3,1,1.0,11+ years,13.0,"$10,000 - $20,000",15000.0,3.90744167947,C#; JavaScript; SQL; SQL Server,Android; C#; Ruby; SQL Server,-1 (please specify),7.0,0,3,"1,000-4,999 employees",5-9 people,4,1.0,2,1,Notepad++; Sublime; Visual Studio,3,1-2 hours per week,-1 (please specify),3.0,0,1,0.0,0,I'm self-taught; On-the-job training,1.0,Salary; Health insurance; Work/life balance; Quality of colleagues; Building something that's significant; Remote working option,Taking time off work to interview,50%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the team; Prepare me for who I will be speaking with,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,Poor team dynamics; Inefficient development processes; Fragile code base; Poor documentation; Non-technical management; Interacting with stupid people; Changing requirements; Unspecific requirements,To get help for my job; To give help to -1s; To receive help on my personal projects; Beacause I love to learn
46042,22,Argentina,South America,South America,30-34,32.0,0.0,1; 3,0,0.0,11+ years,13.0,"$20,000 - $30,000",25000.0,3.90744167947,Perl; Ruby,Node.js; Perl; ReactJS; Ruby,0,9.0,0,8,5-9 employees,5-9 people,2,1.0,2,4,Vim,0,2-5 hours per week,-1 (please specify),8.0,0,I don't have an account,0.0,0,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Masters Degree in Computer Science (or related field)",1.0,Salary; Tech stack; Remote working option,The interview process,80%,Show me more live code; Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,1,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,Poor team dynamics; Corporate policies; Outdated technologies; Interacting with stupid people; Poor infrastructure or equipment,To get help for my job; To receive help on my personal projects; Beacause I love to learn
46362,22,Argentina,South America,South America,25-29,27.0,0.0,0; 2; 3; 9,0,0.0,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,3.90744167947,JavaScript; PHP; Ruby,Android; AngularJS; iOS; JavaScript; Ruby,-1 (please specify),7.0,0,4,5-9 employees,1-4 people,0,2.0,2,2,Atom; RubyMine,0,None,-1 (please specify),0.0,-1 (please specify),101 - 500,0.0,3,I'm self-taught; Part-time program (e.g. night school); Some college coursework in Computer Science (or related field),0.0,Tech stack; Work/life balance; Company culture,The interview process,50%,interview_coffee; Fewer brainteasers,,0.0,0.0,0.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,Unrealistic expectations; Interacting with stupid people; Limited resources,To get help for my job; To give help to -1s; Beacause I love to learn
46516,22,Argentina,South America,South America,25-29,27.0,0.0,0; 2; 5,0,0.0,2 - 5 years,3.5,"$20,000 - $30,000",25000.0,3.90744167947,AngularJS; JavaScript; Python; SQL,Android; AngularJS; Objective-C,1,6.0,0,1,20-99 employees,5-9 people,0,1.0,2,7,Notepad++; Eclipse; IntelliJ; PyCharm,0,1-2 hours per week,0,5.0,1,I'm not sure,0.0,6,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",1.0,Salary; Work/life balance; Opportunity for advancement; Office location; Remote working option; Flexible work hours,-1 (please specify),40%,Offer remote interviews (e.g. via video conference),0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,Poor documentation,To get help for my job; Because I can't do my job without it; Beacause I love to learn
