id,collector,age_midpoint,gender,occupation_group,experience_midpoint,salary_midpoint,aliens,programming_ability,employment_status,industry,women_on_team,remote,job_satisfaction,job_discovery,commit_frequency,dogs_vs_cats,desktop_os,unit_testing,visit_frequency,why_learn_new_tech,open_to_new_job,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice
4637,22,32,0,3,8,45000,0,7,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,1,3,0,0,1,0,0,2,1,1,2,2
50525,22,27,1,0,8,5000,0,7,0,3,6,2,2,4,2,1,2,0,0,2,2,0,1,0,0,0,4,4,2,1,2,1,1,0,2,0,0,1,0,0,1,2
31252,22,27,0,0,1.5,15000,0,5,0,1,1,2,2,1,0,1,5,I don't know,0,2,1,0,0,2,1,1,0,0,1,4,3,4,2,1,0,0,1,1,0,0,0,2
32991,22,27,1,11,0.5,5000,1,1,0,4,4,3,3,0,A few times a month,0,0,I don't know,3,2,2,1,1,2,0,1,2,4,2,2,2,4,0,1,2,0,0,1,0,1,2,2
36495,22,32,0,1,1.5,15000,0,7,0,10,1,2,2,2,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",1,2,I don't know,0,0,1,,1,0,1,0,2,0,0,0,2,0,1,2,2,1,1,0,0,0,1,2
36819,22,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42345,22,32,0,1,3.5,15000,0,8,0,0,0,2,2,7,0,1,4,I don't know,0,3,1,0,2,1,0,1,4,4,4,4,4,4,1,2,1,0,1,1,0,2,0,1
42991,22,27,0,1,8,25000,1,7,0,3,0,3,3,6,0,1,7,0,0,0,1,0,1,1,0,2,4,4,3,1,1,4,2,0,2,0,0,1,1,0,1,1
46926,22,32,1,0,8,5000,0,6,0,8,1,0,2,2,3,0,2,0,1,0,1,0,2,0,1,1,0,3,0,2,1,0,2,0,1,0,1,0,2,1,0,2
47887,22,27,0,0,8,15000,-1 (please specify),7,6,4,2,2,2,2,0,1,5,I don't know,0,2,1,,1,1,1,0,3,2,2,1,0,4,1,0,2,0,1,1,0,1,2,2
47960,22,37,0,1,8,35000,0,7,0,13,4,2,3,2,0,1,7,0,2,5,1,1,1,1,0,1,3,4,4,0,2,2,1,2,1,1,1,1,2,2,0,2
