,occupation
1888,
4637,2
11164,
21378,4
30280,
31355,
31743,5
51301,1
13017,
24487,1
28844,0
49685,0
50525,0
50541,1
51884,1
2303,
2375,6
2879,7
19003,
27219,6
29553,6
31646,0
32955,1
52957,0
53005,7
53096,
348,6
5609,25
34171,23
48096,
3415,
14040,1
24573,1
28900,0
29315,23
30889,7
31035,0
31148,0
31165,0
31252,0
31277,1
31422,0
31541,0
31891,
31909,7
31978,8
32168,1
32183,1
32294,9
32492,6
32506,10
32835,1
32970,-1
32991,11
33299,
33306,2
33345,4
33620,0
33719,
33764,6
33820,0
35266,12
35338,0
35346,
35375,13
35431,1
35446,0
35565,24
35628,8
35750,0
35760,1
36103,14
36123,15
36132,0
36390,0
36493,1
36495,1
36546,6
36662,1
36693,0
36753,16
36754,0
36761,1
36819,
36987,9
37250,6
37268,13
38200,1
38651,1
41525,
41768,-1
42038,-1
42306,15
42345,1
42991,1
43299,0
44276,0
45382,1
45695,1
46042,0
46055,0
46184,0
46220,1
46268,-1
46362,0
46383,8
46495,0
46516,0
46676,22
46738,0
46781,7
46790,16
46852,0
46896,6
46921,0
46926,0
46930,2
47849,0
47856,0
47869,-1
47881,1
47887,0
47935,0
47960,1
48012,1
48025,13
48051,0
48183,0
48450,0
48505,5
48563,
48604,0
48946,26
49241,13
49500,0
49552,14
49602,0
49686,2
49697,1
49706,
49835,13
49901,22
49965,
50049,15
50112,
50115,8
50369,0
50407,0
50432,0
50440,
50479,9
50546,12
50550,10
50609,1
51202,11
51203,-1
51261,10
51312,16
51386,
51402,
51466,0
51575,0
51579,0
51582,0
51603,8
51624,22
51643,0
51945,1
52001,
52181,
52319,-1
52487,-1
52959,17
52989,
53020,8
53083,13
2498,1
21769,21
28436,9
28843,
31548,24
34101,13
36712,
52574,24
52880,6
53075,13
924,26
1019,0
1024,10
1045,-1
2753,0
4020,22
7614,
9972,0
19134,14
20108,7
25993,14
26002,9
26435,17
26469,16
27081,0
29088,1
30010,0
30369,7
30424,0
31023,23
31067,-1
31480,7
31948,0
35330,
35376,1
35791,0
35965,
36011,13
39874,
42758,26
46778,13
47455,1
47908,8
47909,1
47924,0
48058,
48826,0
49424,18
49431,
49442,23
50334,0
50464,
50501,0
50634,-1
50940,0
51187,1
51409,18
51468,0
51477,1
51569,6
51656,0
312,1
1286,
1404,24
1453,12
2229,23
2264,1
2523,
2908,1
3080,19
3493,-1
3913,1
4018,10
4137,6
4145,7
4209,4
4470,
4811,4
4836,14
4870,4
4903,0
4938,20
5031,0
5078,1
5288,0
5404,7
5540,
6529,13
6611,22
6837,22
7082,13
7200,
7508,0
7546,24
7551,9
7806,0
8905,1
8956,0
9613,6
10418,0
10563,26
10585,14
10810,4
10888,
11445,0
11975,6
12470,
12861,2
12915,10
13166,7
13365,0
14083,22
15083,15
15390,
15496,0
15527,9
15576,0
16268,
16566,4
16838,2
16971,0
17101,22
17121,
18548,
18713,0
18744,1
18759,7
19121,9
19493,0
19689,0
20309,7
20646,
20796,14
20965,7
20991,
21371,0
22287,1
22482,0
22711,7
22712,
22720,1
22721,7
22899,0
23175,7
23281,0
23612,7
23617,6
23705,0
24754,1
25443,
25935,23
26056,0
26112,0
26299,6
26702,
27000,22
27029,0
27381,26
27665,0
27687,7
27743,13
28069,0
28347,6
28383,
28458,1
28643,0
29070,6
29578,0
30079,-1
30111,
30169,0
30203,7
30211,-1
30245,22
31482,7
31810,7
31853,1
47225,1
48815,6
50052,22
50631,0
51898,9
52371,6
52419,19
52893,26
52956,6
52967,
53116,0
53128,1
49997,10
51000,1
51806,24
52258,0
3062,6
48366,7
65,7
7268,7
27882,0
28184,0
28999,1
29001,1
30896,0
31370,1
49975,24
50605,
50916,
51115,13
51129,0
51316,-1
52499,7
52827,24
52892,1
52997,1
53055,7
37138,0
47737,13
111,17
199,
285,22
1090,0
1227,23
1261,24
1569,0
1633,1
1954,
1955,
1960,0
2037,21
2070,
2209,7
2216,6
2640,-1
2814,0
2872,7
2903,7
3034,
3362,0
3528,
4245,1
4347,7
4373,9
4623,7
4802,
4843,7
5079,
5214,0
5706,7
6600,
6734,
6761,
7612,7
8084,7
8296,
8447,6
8723,
9326,0
10448,7
10722,9
11489,7
11766,0
12195,7
12440,9
12561,0
12965,6
13288,7
14104,13
14360,7
14408,0
14921,
14992,14
15620,7
16076,7
16648,
16791,0
18048,1
18566,0
18683,0
18716,
18919,0
19336,7
19640,9
19999,7
20351,0
20397,13
20490,
20508,0
20907,7
20983,14
21125,7
21274,1
21358,0
21389,14
21410,17
21572,1
21783,6
21840,22
22639,0
22654,0
22730,0
22826,12
22988,1
23745,9
24062,7
24233,7
24674,14
25108,0
25133,15
25525,7
26759,1
26941,13
27068,7
27383,7
27614,7
27748,16
27772,1
27787,6
27805,0
27841,
